epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,992.441,0.54038,0.45959,0.92034,0.84504,0.8171,0.86882,0.69819,0.70755,0.6927,1.04955,0.000279063,0.000279063,0.000279063
107,1001.81,0.54467,0.44557,0.92683,0.85949,0.78085,0.85305,0.6743,0.7446,0.74752,1.06126,0.000273064,0.000273064,0.000273064
108,1011.07,0.53325,0.45364,0.90812,0.84841,0.81209,0.86788,0.68981,0.74111,0.69939,1.06144,0.000267064,0.000267064,0.000267064
109,1020.33,0.53969,0.45334,0.91797,0.82303,0.79227,0.84499,0.68435,0.72328,0.70922,1.06189,0.000261065,0.000261065,0.000261065
110,1029.58,0.51421,0.42945,0.90846,0.88735,0.79007,0.85284,0.68449,0.73797,0.71346,1.07192,0.000255065,0.000255065,0.000255065
111,1038.84,0.52513,0.43463,0.90601,0.86984,0.79457,0.85318,0.67077,0.76555,0.70375,1.07262,0.000249066,0.000249066,0.000249066
112,1048.09,0.53343,0.44974,0.91751,0.85104,0.82867,0.86453,0.68404,0.75196,0.67379,1.07341,0.000243067,0.000243067,0.000243067
113,1057.35,0.53773,0.42732,0.91167,0.86188,0.81161,0.87405,0.69595,0.71091,0.66869,1.05523,0.000237067,0.000237067,0.000237067
114,1066.6,0.49926,0.39713,0.89488,0.89572,0.82732,0.87934,0.69279,0.7522,0.66184,1.07345,0.000231068,0.000231068,0.000231068
115,1075.87,0.50216,0.41455,0.90591,0.90693,0.8103,0.87944,0.69102,0.75027,0.65292,1.08054,0.000225068,0.000225068,0.000225068
116,1085.12,0.50834,0.44328,0.90837,0.87443,0.80072,0.85687,0.67059,0.75837,0.68534,1.08828,0.000219069,0.000219069,0.000219069
117,1094.36,0.50436,0.42576,0.90937,0.88836,0.7863,0.86065,0.69029,0.75122,0.68904,1.08297,0.00021307,0.00021307,0.00021307
118,1103.61,0.49629,0.41298,0.89995,0.83537,0.82745,0.85987,0.68565,0.74913,0.70478,1.08512,0.00020707,0.00020707,0.00020707
119,1112.89,0.49438,0.40646,0.89292,0.89899,0.79111,0.86509,0.6897,0.74174,0.66114,1.07721,0.000201071,0.000201071,0.000201071
120,1122.13,0.48687,0.42832,0.89986,0.92808,0.79528,0.86592,0.69166,0.73834,0.67193,1.07535,0.000195071,0.000195071,0.000195071
121,1131.39,0.48348,0.40903,0.89385,0.89419,0.78997,0.86312,0.69244,0.72187,0.67531,1.06688,0.000189072,0.000189072,0.000189072
